file	line	tag
frontend/src/pages/invoices/InvoicesPage.tsx	140	button
frontend/src/pages/invoices/InvoicesPage.tsx	151	DataTable
frontend/src/pages/leads/LeadEditPage.tsx	163	PageLayout
frontend/src/pages/leads/LeadEditPage.tsx	189	Select
frontend/src/pages/leads/LeadEditPage.tsx	199	Select
frontend/src/pages/leads/LeadEditPage.tsx	209	Select
frontend/src/pages/leads/LeadEditPage.tsx	226	Select
frontend/src/pages/leads/LeadEditPage.tsx	237	Select
frontend/src/pages/leads/LeadEditPage.tsx	248	Select
frontend/src/pages/leads/LeadEditPage.tsx	260	Select
frontend/src/pages/leads/LeadEditPage.tsx	278	textarea
frontend/src/pages/leads/LeadEditPage.tsx	289	button
frontend/src/pages/leads/LeadEditPage.tsx	290	button
frontend/src/pages/leads/LeadFormFields.tsx	72	Select
frontend/src/pages/leads/LeadFormFields.tsx	84	textarea
frontend/src/pages/leads/LeadFormFields.tsx	130	Select
frontend/src/pages/leads/LeadFormFields.tsx	144	Select
frontend/src/pages/leads/LeadFormFields.tsx	153	textarea
frontend/src/pages/leads/LeadsPage.tsx	295	PageLayout
frontend/src/pages/leads/LeadsPage.tsx	299	ContentToolbar
frontend/src/pages/leads/LeadsPage.tsx	301	Select
frontend/src/pages/leads/LeadsPage.tsx	313	button
frontend/src/pages/leads/LeadsPage.tsx	347	Select
frontend/src/pages/leads/LeadsPage.tsx	357	Select
frontend/src/pages/leads/LeadsPage.tsx	367	Select
frontend/src/pages/leads/LeadsPage.tsx	376	Select
frontend/src/pages/leads/LeadsPage.tsx	387	Select
frontend/src/pages/leads/LeadsPage.tsx	398	Select
frontend/src/pages/leads/LeadsPage.tsx	410	Select
frontend/src/pages/leads/LeadsPage.tsx	428	textarea
frontend/src/pages/leads/LeadsPage.tsx	439	button
frontend/src/pages/leads/LeadsPage.tsx	440	button
frontend/src/pages/leads/LeadsPage.tsx	469	button
frontend/src/pages/leads/LeadsPage.tsx	470	button
frontend/src/pages/leads/LeadsPage.tsx	500	button
frontend/src/pages/leads/LeadsPage.tsx	503	button
frontend/src/pages/leads/LeadsPage.tsx	505	button
frontend/src/pages/leads/LeadsPage.tsx	515	DataTable
frontend/src/pages/leads/LeadsPage.tsx	540	button
frontend/src/pages/leads/LeadsPage.tsx	541	button
frontend/src/pages/login/LoginPage.tsx	111	button
frontend/src/pages/login/LoginPage.tsx	119	button
frontend/src/pages/login/LoginPage.tsx	144	button
frontend/src/pages/login/LoginPage.tsx	149	button
frontend/src/pages/management-center/ManagementCenterPage.tsx	103	PageLayout
frontend/src/pages/notifications/NotificationsPage.tsx	44	PageLayout
